Entity,Code,Year,Value
China,CHN,2020,120015.7712
Japan,JPN,2020,62307.42204
India,IND,2020,60207.50066
South Korea,KOR,2020,54379.11604
United Arab Emirates,ARE,2020,44349.19934
Egypt,EGY,2020,18896.35065
Singapore,SGP,2020,20170.74336
Bahrain,BHR,2020,17417.18842
Italy,ITA,2020,10479.55216
Belgium,BEL,2020,11955.4879
Thailand,THA,2020,12299.28569
Netherlands,NLD,2020,17182.66014
Turkey,TUR,2020,10123.82146
South Africa,ZAF,2020,8192.109795
France,FRA,2020,5903.174603
Indonesia,IDN,2020,8720.917857
Pakistan,PAK,2020,7101.860389
Brazil,BRA,2020,5174.772824
Jordan,JOR,2020,7453.655764
Spain,ESP,2020,8313.916562
Poland,POL,2020,5401.578553
Malaysia,MYS,2020,9549.286728
United Kingdom,GBR,2020,3299.878594
Myanmar,MMR,2020,5957.823942
Kuwait,KWT,2020,6042.172752
Canada,CAN,2020,3845.321593
Djibouti,DJI,2020,3302.924481
Philippines,PHL,2020,2517.058075
Kenya,KEN,2020,2927.184679
Tanzania,TZA,2020,1428.710631
Sudan,SDN,2020,2655.4332
Morocco,MAR,2020,1735.847688
Iraq,IRQ,2020,3371.005036
Switzerland,CHE,2020,2303.341689
Greece,GRC,2020,2160.698814
Vietnam,VNM,2020,2416.585289
Nigeria,NGA,2020,1075.514886
Togo,TGO,2020,819.894408
Germany,DEU,2020,1680.508865
Portugal,PRT,2020,2092.315525
Hong Kong,HKG,2020,1078.165708
Tunisia,TUN,2020,611.283177
Sri Lanka,LKA,2020,625.321847
Mozambique,MOZ,2020,1292.36085
New Zealand,NZL,2020,730.470496
Libya,LBY,2020,518.669096
Lebanon,LBN,2020,646.858606
Ghana,GHA,2020,312.712266
Ukraine,UKR,2020,150.407971
Peru,PER,2020,246.980242
Sweden,SWE,2020,327.333232
Malta,MLT,2020,546.230108
Guatemala,GTM,2020,112.927211
Mexico,MEX,2020,200.771526
Palestine,PSE,2020,95.824531
Maldives,MDV,2020,86.286331
Senegal,SEN,2020,98.844706
Somalia,SOM,2020,189.070494
Guinea,GIN,2020,102.271428
Mauritania,MRT,2020,101.991145
Slovenia,SVN,2020,127.943057
Ireland,IRL,2020,64.874078
Uganda,UGA,2020,63.31019
Norway,NOR,2020,23.716067
Paraguay,PRY,2020,39.497021
Romania,ROU,2020,21.695963
Nepal,NPL,2020,34.596127
Hungary,HUN,2020,160.130117
Madagascar,MDG,2020,115.462949
Liberia,LBR,2020,37.068718
Malawi,MWI,2020,49.372098
Sierra Leone,SLE,2020,19.775508
Uruguay,URY,2020,89.377017
Mauritius,MUS,2020,23.41988
Nicaragua,NIC,2020,10.148185
Namibia,NAM,2020,10.809198
Lithuania,LTU,2020,443.96644
Niger,NER,2020,12.627889
United States,USA,2020,31024
